"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SABPH2760","SABPH2819","SABPH2900","SABPH2947","SABPH2986"
"group_104","","hypothetical protein","5","5","1","1","2671","","","","602","602","602","BPOBBBHG_00043","PCKNBOAI_01023","LDKIDLOJ_00068","HHCDGDKF_00117","GIPNDHBP_00064"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","5","5","1","1","996","","","","1241","1241","1241","BPOBBBHG_00133","PCKNBOAI_00935","LDKIDLOJ_00154","HHCDGDKF_00201","GIPNDHBP_00156"
"group_115","","hypothetical protein","5","5","1","1","1142","","","","311","374","361","BPOBBBHG_00253","PCKNBOAI_00817","LDKIDLOJ_00265","HHCDGDKF_00318","GIPNDHBP_00276"
"group_116","","Lipoate--protein ligase 2","5","5","1","1","1172","","","","1022","1022","1022","BPOBBBHG_00277","PCKNBOAI_00793","LDKIDLOJ_00289","HHCDGDKF_00406","GIPNDHBP_00300"
"group_117","","UDP-glucose 4-epimerase","5","5","1","1","1171","","","","1025","1025","1025","BPOBBBHG_00278","PCKNBOAI_00792","LDKIDLOJ_00290","HHCDGDKF_00407","GIPNDHBP_00301"
"efeM","","putative iron uptake system component EfeM","5","5","1","1","785","","","","656","854","814","BPOBBBHG_00292","PCKNBOAI_00778","LDKIDLOJ_00304","HHCDGDKF_00421","GIPNDHBP_00315"
"efeU","","Ferrous iron permease EfeU","5","5","1","1","789","","","","1712","1712","1712","BPOBBBHG_00294","PCKNBOAI_00776","LDKIDLOJ_00307","HHCDGDKF_00424","GIPNDHBP_00317"
"group_121","","hypothetical protein","5","5","1","1","793","","","","203","203","203","BPOBBBHG_00298","PCKNBOAI_00772","LDKIDLOJ_00311","HHCDGDKF_00428","GIPNDHBP_00321"
"group_122","","hypothetical protein","5","5","1","1","794","","","","713","713","713","BPOBBBHG_00299","PCKNBOAI_00771","LDKIDLOJ_00312","HHCDGDKF_00429","GIPNDHBP_00322"
"ytrB","","ABC transporter ATP-binding protein YtrB","5","5","1","1","795","","","","842","842","842","BPOBBBHG_00300","PCKNBOAI_00770","LDKIDLOJ_00313","HHCDGDKF_00430","GIPNDHBP_00323"
"ykuT","","putative MscS family protein YkuT","5","5","1","1","805","","","","881","881","881","BPOBBBHG_00310","PCKNBOAI_00760","LDKIDLOJ_00323","HHCDGDKF_00440","GIPNDHBP_00333"
"group_125","","hypothetical protein","5","5","1","1","777","","","","368","401","374","BPOBBBHG_00344","PCKNBOAI_00751","LDKIDLOJ_00333","HHCDGDKF_00450","GIPNDHBP_00343"
